ID,性别,专业,学历,毕业去向,就业行业,岗位类型,工作城市,城市等级,期望薪资,实际薪资,期望薪资达成率,是否有实习经历,专业-行业匹配度,学历-岗位匹配度,满意度评分,岗位ID
61,女,市场营销,博士,出国,互联网,海外研究生,成都,新一线,10000,12300,1.23,否,高,高,5,JOBC807CBCB6C
62,男,计算机,硕士,公务员,政府,事业单位职员,北京,一线,11500,13600,1.183,否,低,中,3,JOBC399F97844
63,男,电子信息,博士,就业,制造业,产品工程师,深圳,一线,11000,20300,1.845,是,中,中,4,JOBECB725D56E
64,男,汉语言文学,硕士,出国,教育,海外研究助理,西安,新一线,6500,4800,0.738,是,高,高,4,JOB1131563BE5
65,女,汉语言文学,硕士,出国,科研,海外研究助理,南京,新一线,12000,9700,0.808,是,低,高,3,JOBA9E5AAEFF2
66,女,电子信息,博士,就业,制造业,产品工程师,深圳,一线,12000,19400,1.617,是,中,中,4,JOBECB725D56E
67,男,金融学,硕士,出国,金融,海外管培生,武汉,新一线,10500,10300,0.981,否,高,高,4,JOBB4709A8D6B
68,女,临床医学,博士,创业,科研,产品创业者,广州,一线,8000,10400,1.3,否,中,高,4,JOB4D457C7DAC
69,女,临床医学,博士,就业,政府,行政专员,成都,新一线,6000,6600,1.1,否,低,中,3,JOB99CA023368
70,女,机械工程,硕士,自由职业,制造业,独立咨询顾问,武汉,新一线,12000,11500,0.958,否,高,中,3,JOBB23BC26758
71,女,机械工程,博士,自由职业,教育,自由职业者,上海,一线,5000,6500,1.3,是,低,高,4,JOBB003B0BA15
72,男,电子信息,博士,就业,制造业,设备工程师,深圳,一线,15000,22900,1.527,是,中,中,4,JOB0E1241D66B
73,男,金融学,博士,就业,金融,风控分析师,杭州,新一线,15000,30300,2.02,是,高,中,5,JOB08FEA9CFB1
74,男,土木工程,本科,公务员,政府机关,事业单位职员,深圳,一线,12000,11400,0.95,否,低,中,3,JOBC4F2120D18
75,男,法学,博士,就业,教育,教师,青岛,新一线,8000,8800,1.1,否,低,高,4,JOB0796DA1428
76,女,环境工程,本科,自由职业,教育,独立咨询顾问,青岛,新一线,12000,9000,0.75,是,低,中,2,JOBD2A0A0AB92
77,女,环境工程,本科,创业,建筑,创业者,上海,一线,7000,8900,1.271,是,中,中,4,JOBB4596C8B93
78,女,电子信息,硕士,公务员,政府,行政专员,北京,一线,13500,15400,1.141,否,低,中,3,JOBB5BBD2B59C
79,女,计算机,博士,公务员,政府机关,事业单位职员,成都,新一线,11500,15600,1.357,是,低,中,4,JOBEFAF117C4A
80,女,金融学,博士,公务员,政府,基层治理专员,上海,一线,12000,17800,1.483,是,低,中,3,JOB44C5979FA1
81,女,计算机,博士,出国,科研,海外研发助理,武汉,新一线,7000,6100,0.871,否,中,高,3,JOBC7D24A6962
82,女,汉语言文学,本科,创业,文化传媒,项目负责人,成都,新一线,4000,3100,0.775,是,中,中,3,JOBC1FEC1196E
83,男,计算机,硕士,出国,制造业,海外研发助理,北京,一线,14500,15500,1.069,是,中,高,5,JOB8A79951A02
84,女,市场营销,硕士,自由职业,文化传媒,独立咨询顾问,武汉,新一线,9500,10400,1.095,是,中,中,4,JOBBD37594701
85,男,环境工程,本科,考研,科研,硕士研究生,成都,新一线,9500,5700,0.6,否,低,中,2,JOBCE75C1D46D
86,女,计算机,本科,就业,金融,风控分析师,西安,新一线,14500,14800,1.021,否,低,中,3,JOB9514770325
87,男,市场营销,博士,出国,互联网,海外研究生,北京,一线,14500,20400,1.407,否,高,高,5,JOBAB2EFA27FA
88,男,临床医学,硕士,创业,互联网,创业者,青岛,新一线,13000,14100,1.085,否,低,高,3,JOBC0779DDE5A
89,女,计算机,硕士,公务员,政府机关,政策研究员,深圳,一线,8500,10300,1.212,是,低,中,3,JOB9982DBE5B7
90,女,汉语言文学,博士,公务员,政府机关,基层治理专员,武汉,新一线,8000,9500,1.188,是,中,中,4,JOB638843AD3F
91,女,机械工程,硕士,创业,制造业,项目负责人,杭州,新一线,6000,6600,1.1,否,高,中,4,JOBD6405CD03D
92,女,汉语言文学,本科,考研,教育,硕士研究生,南京,新一线,6500,4000,0.615,否,高,中,3,JOB96505DDBFF
93,男,临床医学,博士,就业,教育,课程顾问,成都,新一线,7500,10000,1.333,是,中,高,5,JOB375E2FDBDF
94,男,计算机,博士,创业,互联网,创业者,成都,新一线,9500,15200,1.6,否,高,中,5,JOBFB4673E3A8
95,男,土木工程,硕士,考研,教育,博士后科研助理,深圳,一线,5000,3300,0.66,否,低,高,1,JOB465F7093E1
96,男,机械工程,本科,出国,教育,海外研究助理,武汉,新一线,5500,3000,0.545,否,低,中,2,JOB7276B418CB
97,男,电子信息,博士,出国,科研,海外研究生,西安,新一线,12000,10600,0.883,是,中,高,4,JOB95A79C3D95
98,女,土木工程,硕士,出国,教育,海外项目助理,上海,一线,7500,6200,0.827,是,低,高,3,JOBD5401CF6FA
99,男,法学,本科,就业,金融,财富顾问,深圳,一线,5500,7200,1.309,否,中,中,4,JOB7B4B9E667D
100,男,汉语言文学,硕士,就业,文化传媒,文案策划,北京,一线,13500,16000,1.185,是,中,中,4,JOB3E0D88B0FD
101,男,法学,博士,就业,政府,政策研究员,深圳,一线,15000,26300,1.753,是,中,高,4,JOB0C91BE0DB3
102,女,金融学,本科,出国,金融,海外项目助理,西安,新一线,15000,11900,0.793,否,高,中,3,JOB0429C300E1
103,女,市场营销,硕士,自由职业,互联网,独立咨询顾问,南京,新一线,9500,15500,1.632,是,高,高,5,JOBC370B2BCF9
104,女,土木工程,博士,考研,科研,博士后科研助理,广州,一线,15000,12100,0.807,否,低,高,2,JOB05DB2EE3D2
105,男,金融学,本科,出国,金融,海外项目助理,成都,新一线,7000,7100,1.014,是,高,中,4,JOBF15D795B65
106,男,金融学,本科,创业,互联网,项目负责人,深圳,一线,12000,16800,1.4,是,中,中,4,JOBC4CC01A9FB
107,女,机械工程,硕士,创业,互联网,创业者,西安,新一线,4000,5100,1.275,是,低,高,4,JOB5E8A3A4278
108,男,计算机,本科,出国,互联网,海外研发助理,成都,新一线,5000,4900,0.98,是,高,中,4,JOBE5D6D7991F
109,女,法学,博士,就业,政府机关,公务员,上海,一线,14000,20500,1.464,否,高,中,4,JOB9CDC62293B
110,男,计算机,本科,就业,互联网,产品经理,南京,新一线,10000,15100,1.51,是,高,中,5,JOB961F386B55
111,男,临床医学,硕士,考研,科研,博士研究生,青岛,新一线,8000,5500,0.688,是,中,高,3,JOB3B39AB2772
112,男,土木工程,本科,创业,互联网,工作室负责人,杭州,新一线,4500,5200,1.156,是,低,中,3,JOB7753C746BC
113,男,计算机,本科,公务员,政府机关,行政执法辅助岗,西安,新一线,8000,5900,0.738,否,低,中,2,JOB4E218034EE
114,女,法学,本科,创业,政府机关,工作室负责人,成都,新一线,9500,9400,0.989,是,高,中,4,JOB744F5CC617
115,女,电子信息,本科,公务员,政府机关,事业单位职员,杭州,新一线,5500,5200,0.945,是,低,中,3,JOBDF5E110FAD
116,男,环境工程,硕士,考研,科研,博士后科研助理,西安,新一线,12000,7300,0.608,否,低,高,2,JOBD59E1314F8
117,女,计算机,本科,就业,金融,财富顾问,深圳,一线,13000,15900,1.223,否,低,中,3,JOB7B4B9E667D
118,男,市场营销,博士,自由职业,教育,内容创作者,青岛,新一线,9000,9000,1,是,低,高,3,JOBBF1E127B80
119,女,金融学,博士,出国,互联网,海外项目助理,成都,新一线,9000,12200,1.356,是,中,高,4,JOBD4030389F6
120,男,机械工程,本科,考研,科研,硕士研究生,青岛,新一线,5000,2800,0.56,否,中,中,3,JOBF30BD48B94
121,女,汉语言文学,本科,出国,教育,海外研究助理,深圳,一线,12500,9200,0.736,否,高,中,3,JOB5326CD3EA4
122,女,市场营销,硕士,出国,互联网,海外管培生,广州,一线,12500,15300,1.224,否,高,高,5,JOB0474709622
123,女,汉语言文学,博士,公务员,政府机关,基层治理专员,武汉,新一线,4000,5300,1.325,是,中,中,4,JOB638843AD3F
124,男,临床医学,硕士,考研,科研,博士研究生,成都,新一线,11500,8700,0.757,是,中,高,3,JOBEC2910D28F
125,男,汉语言文学,硕士,就业,文化传媒,文案策划,西安,新一线,12000,11700,0.975,否,中,中,3,JOB60ABB36A8B
126,女,法学,本科,出国,政府机关,海外项目助理,广州,一线,11500,10200,0.887,是,高,中,4,JOBD13FD3CE76
127,男,机械工程,本科,创业,互联网,创业者,北京,一线,10500,13500,1.286,否,低,中,3,JOBE724436156
128,女,汉语言文学,博士,出国,科研,海外项目助理,北京,一线,4500,5200,1.156,否,低,高,3,JOBD06FAB814B
129,男,电子信息,博士,考研,科研,博士后科研助理,上海,一线,6000,5800,0.967,否,中,高,3,JOB3729425ACC
130,女,汉语言文学,本科,考研,教育,硕士研究生,西安,新一线,15000,8400,0.56,是,高,中,4,JOB217D067F1F
131,男,环境工程,博士,公务员,政府机关,公共事务助理,武汉,新一线,7500,9900,1.32,是,低,中,3,JOB94A9C8BA64
132,女,法学,硕士,考研,教育,博士后科研助理,杭州,新一线,14500,9000,0.621,否,低,高,2,JOB5125D573FB
133,男,金融学,博士,出国,互联网,海外管培生,北京,一线,8000,11400,1.425,是,中,高,4,JOB1D69CCB59C
134,男,临床医学,本科,公务员,政府机关,事业单位职员,南京,新一线,5000,4800,0.96,否,低,中,3,JOB9206C3A31A
135,男,临床医学,硕士,创业,科研,工作室负责人,深圳,一线,7000,8300,1.186,否,中,高,4,JOB9876020656
136,女,计算机,硕士,就业,金融,证券研究员,上海,一线,7000,12300,1.757,是,低,高,4,JOBCE25F40EC7
137,女,临床医学,博士,创业,医疗,产品创业者,广州,一线,13500,21900,1.622,否,高,高,5,JOB70E6F6E749
138,男,法学,本科,出国,科研,海外项目助理,西安,新一线,12500,8100,0.648,是,低,中,2,JOBCBD0213A2C
139,女,环境工程,博士,创业,建筑,创业者,杭州,新一线,12500,16300,1.304,否,中,中,4,JOB20FF189BCA
140,女,机械工程,本科,自由职业,文化传媒,内容创作者,青岛,新一线,6000,4100,0.683,是,低,中,2,JOB58BB935E18
141,女,金融学,硕士,就业,银行,信贷专员,广州,一线,11500,17300,1.504,否,中,中,4,JOB6DB5754A32
142,男,金融学,硕士,就业,互联网,前端开发工程师,青岛,新一线,4500,6300,1.4,否,中,高,4,JOBF4242DCEBF
143,男,法学,硕士,自由职业,政府机关,内容创作者,青岛,新一线,8000,8300,1.038,否,高,中,4,JOB3A62CAC178
144,男,土木工程,硕士,就业,建筑,造价工程师,西安,新一线,14000,17900,1.279,是,高,中,5,JOB7773332DFB
145,女,机械工程,博士,考研,教育,博士后科研助理,上海,一线,8500,6800,0.8,是,低,高,3,JOB6265F67F1C
146,男,金融学,硕士,创业,金融,工作室负责人,广州,一线,15000,24200,1.613,是,高,高,5,JOB6D5AB6694E
147,女,法学,硕士,创业,政府机关,创业者,西安,新一线,11500,12000,1.043,是,高,中,4,JOB17D635B7FB
148,女,土木工程,博士,创业,建筑,产品创业者,南京,新一线,7000,9600,1.371,否,高,中,4,JOB200EAD4D64
149,女,土木工程,硕士,就业,建筑,BIM工程师,成都,新一线,5500,7000,1.273,是,高,中,5,JOBB616092755
150,男,土木工程,博士,出国,建筑,海外研究生,西安,新一线,4000,4100,1.025,是,高,高,5,JOBD06C780DBC
151,女,土木工程,本科,就业,建筑,施工管理工程师,青岛,新一线,12000,13600,1.133,是,高,中,4,JOB24D081EA79
152,男,环境工程,本科,就业,政府,公共事务助理,深圳,一线,5500,5700,1.036,是,中,中,3,JOBFB9D47BF01
153,男,土木工程,硕士,自由职业,教育,项目制顾问,广州,一线,11000,12200,1.109,是,低,中,3,JOB450BFF8BC5
154,女,汉语言文学,本科,就业,互联网,数据分析师,成都,新一线,11000,12400,1.127,是,低,中,3,JOB8E6ABE8E66
155,男,环境工程,硕士,考研,科研,博士后科研助理,南京,新一线,5000,3500,0.7,否,低,高,2,JOB4735F4166E
156,女,机械工程,本科,出国,教育,海外项目助理,上海,一线,14000,9500,0.679,否,低,中,2,JOBD5401CF6FA
157,男,金融学,本科,公务员,政府机关,政策研究员,杭州,新一线,12500,12600,1.008,是,低,低,3,JOBF50C331F2A
158,男,土木工程,博士,就业,政府,政策研究员,西安,新一线,11500,12800,1.113,否,低,高,3,JOB6E4F37A185
159,女,金融学,硕士,出国,金融,海外项目助理,西安,新一线,4000,3700,0.925,否,高,高,5,JOB0429C300E1
160,女,电子信息,硕士,自由职业,文化传媒,自由产品顾问,武汉,新一线,6000,5700,0.95,否,低,中,3,JOBD3E245DDBF
161,女,金融学,硕士,公务员,政府机关,公共事务助理,上海,一线,14500,18700,1.29,否,低,中,3,JOB66E7294588
162,男,计算机,本科,自由职业,文化传媒,独立开发者,成都,新一线,11500,8900,0.774,是,低,中,2,JOBAC73D9889B
163,男,金融学,博士,出国,金融,海外项目助理,杭州,新一线,14500,19000,1.31,否,高,高,5,JOB2CA8F2FC42
164,男,电子信息,本科,自由职业,教育,自由产品顾问,武汉,新一线,4000,2700,0.675,否,低,中,2,JOB97347B6542
165,女,机械工程,博士,公务员,政府机关,政策研究员,南京,新一线,4000,4400,1.1,是,低,高,4,JOBAD240C4197
166,女,市场营销,博士,考研,科研,博士后科研助理,北京,一线,7000,6800,0.971,否,低,高,3,JOBD7FDCCB547
167,男,市场营销,博士,出国,互联网,海外研究生,上海,一线,13000,21600,1.662,是,高,高,5,JOB0604FD61F8
168,女,计算机,本科,创业,文化传媒,创业者,南京,新一线,10500,7500,0.714,是,低,中,2,JOBD7069C5194
169,女,电子信息,博士,公务员,政府机关,政策研究员,武汉,新一线,7000,8200,1.171,是,低,高,4,JOBF914D82AAC
170,女,机械工程,本科,出国,科研,海外研究助理,青岛,新一线,10000,6300,0.63,否,中,中,3,JOB18B68D2EFD
171,男,法学,本科,出国,科研,海外研究助理,杭州,新一线,15000,11400,0.76,否,低,中,1,JOBD0E37C9313
172,男,机械工程,博士,就业,建筑,结构工程师,南京,新一线,9500,13400,1.411,否,中,中,4,JOB55863FEF94
173,男,电子信息,本科,就业,科研,科研助理,广州,一线,14500,14700,1.014,是,中,中,4,JOBCD24E51607
174,女,计算机,博士,自由职业,文化传媒,网站开发者,广州,一线,7500,7400,0.987,否,低,中,2,JOB237EA2EFFC
175,男,法学,硕士,自由职业,教育,内容创作者,青岛,新一线,8500,8000,0.941,是,低,中,2,JOBBF1E127B80
176,男,机械工程,本科,创业,制造业,产品创业者,广州,一线,14000,16300,1.164,是,高,中,5,JOBDC80C7CA30
177,女,汉语言文学,本科,就业,文化传媒,编辑,广州,一线,5000,5400,1.08,是,中,中,4,JOB850ADBA5AE
178,男,临床医学,博士,考研,科研,博士后科研助理,西安,新一线,12500,9700,0.776,否,中,高,3,JOBD59E1314F8
179,男,市场营销,博士,出国,互联网,海外管培生,西安,新一线,7500,8200,1.093,否,高,高,5,JOBD05332FBF4
180,女,机械工程,博士,自由职业,文化传媒,独立咨询顾问,武汉,新一线,11000,9900,0.9,否,低,中,3,JOBBD37594701
181,男,环境工程,本科,自由职业,文化传媒,独立咨询顾问,杭州,新一线,7500,7100,0.947,是,低,中,3,JOB5EAEA98D1D
182,男,计算机,本科,创业,文化传媒,产品创业者,杭州,新一线,5500,4300,0.782,否,低,中,2,JOB17716018AD
183,女,临床医学,硕士,自由职业,教育,自由职业者,成都,新一线,5000,4700,0.94,否,中,中,3,JOBA2ECC39D51
184,女,土木工程,本科,公务员,政府机关,行政执法辅助岗,武汉,新一线,10500,8800,0.838,否,低,中,2,JOB580AFA90DA
185,男,金融学,博士,就业,金融,财务分析师,武汉,新一线,7000,12700,1.814,是,高,中,5,JOB37A290E3F9
186,男,汉语言文学,本科,自由职业,教育,内容创作者,北京,一线,8500,8600,1.012,否,高,中,4,JOBBDA3D5CC0A
187,男,金融学,博士,考研,科研,博士后科研助理,深圳,一线,7500,6300,0.84,否,低,高,2,JOBA4ECAA4E99
188,女,汉语言文学,博士,创业,互联网,项目负责人,南京,新一线,10500,15100,1.438,否,低,中,3,JOB86CBF5BFD2
189,男,法学,硕士,考研,教育,博士后科研助理,武汉,新一线,6500,4000,0.615,是,低,高,2,JOB8A846DE0C4
190,女,电子信息,本科,考研,科研,硕士研究生,青岛,新一线,14000,8100,0.579,否,中,中,2,JOBF30BD48B94
191,女,金融学,博士,考研,科研,博士后科研助理,广州,一线,11000,10000,0.909,是,低,高,3,JOB05DB2EE3D2
192,女,机械工程,硕士,出国,教育,海外研究助理,南京,新一线,4500,3700,0.822,是,低,高,3,JOBCCAD5E0228
193,男,电子信息,硕士,就业,互联网,运营专员,南京,新一线,4500,7300,1.622,是,高,高,5,JOB4E28902CDA
194,男,计算机,硕士,公务员,政府,公务员,杭州,新一线,6000,7600,1.267,是,低,中,3,JOBE2BBA86EC3
195,女,临床医学,硕士,创业,科研,联合创始人,西安,新一线,8500,7600,0.894,否,中,高,3,JOBAF127A4F73
196,男,土木工程,本科,考研,教育,硕士研究生,广州,一线,7500,4500,0.6,是,低,中,2,JOB80DFE0EBE6
197,女,法学,硕士,考研,教育,博士后科研助理,武汉,新一线,6000,3700,0.617,是,低,高,2,JOB8A846DE0C4
198,男,临床医学,博士,出国,科研,海外研究生,上海,一线,8000,9800,1.225,是,中,高,5,JOB9A3E536F5F
199,女,临床医学,硕士,自由职业,教育,内容创作者,杭州,新一线,12500,12500,1,否,中,中,3,JOBF4B693DC45
200,女,机械工程,博士,考研,教育,博士后科研助理,杭州,新一线,8500,6700,0.788,是,低,高,2,JOB5125D573FB
201,男,土木工程,博士,公务员,政府,政策研究员,南京,新一线,7500,8500,1.133,否,低,高,3,JOBB9C14E8A7A
202,女,市场营销,硕士,创业,互联网,项目负责人,北京,一线,6000,10300,1.717,否,高,高,4,JOB96EBAA2200
203,女,环境工程,博士,公务员,政府机关,公务员,南京,新一线,11000,13300,1.209,是,低,中,4,JOB4DCB780BC9
204,男,市场营销,硕士,考研,教育,博士后科研助理,青岛,新一线,8500,4700,0.553,是,低,高,2,JOB1AA132B330
205,男,汉语言文学,博士,自由职业,教育,课程创作者,西安,新一线,5500,6000,1.091,否,高,高,4,JOBBDE46D9462
206,女,计算机,博士,就业,制造业,质量工程师,西安,新一线,14000,17300,1.236,是,中,中,4,JOBB018EC297E
207,男,电子信息,硕士,出国,科研,海外研发助理,武汉,新一线,13500,12100,0.896,否,中,高,3,JOBC7D24A6962
208,男,土木工程,本科,就业,政府,行政专员,北京,一线,12000,13000,1.083,是,低,中,3,JOBB5BBD2B59C
209,男,电子信息,硕士,考研,科研,博士后科研助理,深圳,一线,5000,4400,0.88,否,中,高,3,JOBA4ECAA4E99
210,女,临床医学,博士,自由职业,教育,内容创作者,西安,新一线,5500,5100,0.927,否,中,高,4,JOB4CADD05C8A
211,女,机械工程,硕士,创业,互联网,创业者,杭州,新一线,8000,10500,1.312,否,低,高,4,JOBFA1A8C5087
212,女,环境工程,博士,考研,科研,博士后科研助理,武汉,新一线,13500,11500,0.852,是,低,高,2,JOBA0C27ACE0B
213,女,机械工程,硕士,创业,互联网,项目负责人,杭州,新一线,5500,7300,1.327,是,低,高,4,JOB36B7E28B9C
214,男,电子信息,硕士,自由职业,文化传媒,独立开发者,青岛,新一线,6500,5000,0.769,否,低,中,1,JOB43DE06EB1B
215,女,电子信息,硕士,考研,科研,博士后科研助理,杭州,新一线,11000,9400,0.855,否,中,高,3,JOBE0627E147C
216,男,临床医学,本科,创业,互联网,工作室负责人,南京,新一线,6000,6300,1.05,是,低,中,3,JOBA816C2052E
217,女,机械工程,博士,创业,建筑,创业者,南京,新一线,12500,15200,1.216,否,中,中,4,JOBAB92103963
218,女,土木工程,本科,自由职业,教育,独立咨询顾问,成都,新一线,15000,9800,0.653,否,低,中,2,JOBFEF8D5563A
219,女,土木工程,本科,自由职业,文化传媒,自由职业者,武汉,新一线,4500,3000,0.667,是,低,中,2,JOB2D884DAD55
220,女,法学,硕士,出国,教育,海外研究助理,上海,一线,8500,8200,0.965,是,低,高,3,JOB23E5C1DC35
221,男,电子信息,硕士,公务员,政府机关,事业单位职员,武汉,新一线,14500,15500,1.069,是,低,中,3,JOB8BEBBDEEC3
222,女,环境工程,本科,出国,科研,海外研究生,南京,新一线,8000,5500,0.688,是,低,中,2,JOBF3D76E089A
